Date,Fremont Bridge West Sidewalk,Fremont Bridge East Sidewalk
10/3/12,1760,1761
10/4/12,1708,1767
10/5/12,1558,1590
10/6/12,1080,926
10/7/12,1191,951
10/8/12,1829,1708
10/9/12,1759,1742
10/10/12,1648,1587
10/11/12,1579,1468
10/12/12,1022,989
10/13/12,415,351
10/14/12,427,271
10/15/12,1200,1073
10/16/12,1559,1477
10/17/12,1647,1596
10/18/12,1449,1474
10/19/12,965,1012
10/20/12,586,482
10/21/12,540,449
10/22/12,1088,1041
10/23/12,1263,1237
10/24/12,1250,1179
10/25/12,1361,1352
10/26/12,1039,1034
10/27/12,289,242
10/28/12,611,451
10/29/12,1146,1071
10/30/12,912,823
10/31/12,883,827
11/1/12,1061,1030
11/2/12,1345,1133
11/3/12,513,439
11/4/12,548,463
11/5/12,1430,1380
11/6/12,1287,1206
11/7/12,1406,1313
11/8/12,1355,1336
11/9/12,1251,1155
11/10/12,685,584
11/11/12,327,301
11/12/12,839,792
11/13/12,1050,1037
11/14/12,1294,1306
11/15/12,1304,1216
11/16/12,1023,983
11/17/12,348,292
11/18/12,219,173
11/19/12,475,492
11/20/12,884,857
11/21/12,668,702
11/22/12,325,229
11/23/12,168,187
11/24/12,448,397
11/25/12,566,452
11/26/12,1180,1178
11/27/12,1301,1246
11/28/12,1022,1012
11/29/12,954,890
11/30/12,786,804
12/1/12,338,296
12/2/12,294,233
12/3/12,932,936
12/4/12,1021,990
12/5/12,1180,1120
12/6/12,955,924
12/7/12,906,910
12/8/12,471,403
12/9/12,217,205
12/10/12,1070,1092
12/11/12,994,951
12/12/12,919,929
12/13/12,1047,966
12/14/12,894,815
12/15/12,258,205
12/16/12,202,149
12/17/12,747,745
12/18/12,862,840
12/19/12,496,524
12/20/12,526,551
12/21/12,605,627
12/22/12,263,230
12/23/12,253,188
12/24/12,304,270
12/25/12,50,48
12/26/12,430,415
12/27/12,573,575
12/28/12,631,626
12/29/12,249,238
12/30/12,375,320
12/31/12,546,440
1/1/13,344,334
1/2/13,904,931
1/3/13,890,913
1/4/13,836,876
1/5/13,403,316
1/6/13,392,314
1/7/13,968,925
1/8/13,781,797
1/9/13,697,650
1/10/13,935,875
1/11/13,804,766
1/12/13,341,336
1/13/13,335,224
1/14/13,934,935
1/15/13,1065,1001
1/16/13,970,980
1/17/13,883,894
1/18/13,810,775
1/19/13,421,339
1/20/13,467,334
1/21/13,644,632
1/22/13,984,981
1/23/13,896,871
1/24/13,1003,952
1/25/13,925,936
1/26/13,286,258
1/27/13,358,285
1/28/13,877,831
1/29/13,910,879
1/30/13,873,887
1/31/13,974,947
2/1/13,1092,1016
2/2/13,645,488
2/3/13,477,391
2/4/13,1174,1114
2/5/13,1030,982
2/6/13,1016,979
2/7/13,1115,1072
2/8/13,1119,1042
2/9/13,627,487
2/10/13,735,577
2/11/13,1076,1069
2/12/13,1082,1023
2/13/13,1050,1016
2/14/13,980,904
2/15/13,1206,1098
2/16/13,573,444
2/17/13,471,398
2/18/13,758,723
2/19/13,1333,1253
2/20/13,1142,1075
2/21/13,952,939
2/22/13,670,690
2/23/13,603,523
2/24/13,605,517
2/25/13,1077,1009
2/26/13,1253,1244
2/27/13,1163,1171
2/28/13,874,885
3/1/13,924,921
3/2/13,657,576
3/3/13,989,701
3/4/13,1464,1327
3/5/13,1205,1193
3/6/13,1049,992
3/7/13,1068,1082
3/8/13,1409,1330
3/9/13,1372,1058
3/10/13,594,452
3/11/13,1144,1106
3/12/13,994,986
3/13/13,935,959
3/14/13,1139,1063
3/15/13,1172,1183
3/16/13,595,468
3/17/13,745,550
3/18/13,1181,1200
3/19/13,1192,1120
3/20/13,767,740
3/21/13,963,961
3/22/13,928,934
3/23/13,971,781
3/24/13,766,619
3/25/13,1599,1560
3/26/13,1563,1452
3/27/13,1353,1264
3/28/13,1384,1322
3/29/13,1681,1526
3/30/13,1365,1132
3/31/13,1275,1088
4/1/13,1654,1594
4/2/13,1685,1602
4/3/13,1739,1747
4/4/13,1016,991
4/5/13,914,928
4/6/13,429,360
4/7/13,314,263
4/8/13,1334,1355
4/9/13,1504,1396
4/10/13,1059,1054
4/11/13,1284,1215
4/12/13,1047,998
4/13/13,486,360
4/14/13,812,652
4/15/13,1433,1254
4/16/13,1566,1510
4/17/13,1523,1416
4/18/13,1019,953
4/19/13,700,685
4/20/13,587,445
4/21/13,559,409
4/22/13,1920,1713
4/23/13,2003,1939
4/24/13,2287,2163
4/25/13,2185,1981
4/26/13,1784,1673
4/27/13,663,551
4/28/13,664,526
4/29/13,1376,1317
4/30/13,1757,1645
5/1/13,2615,2402
5/2/13,2535,2342
5/3/13,2297,2223
5/4/13,1666,1246
5/5/13,1658,1345
5/6/13,2594,2472
5/7/13,2653,2450
5/8/13,2558,2414
5/9/13,2378,2285
5/10/13,2586,2280
5/11/13,1388,1093
5/12/13,706,557
5/13/13,1713,1654
5/14/13,2345,2230
5/15/13,1984,1912
5/16/13,2157,2117
5/17/13,2735,2048
5/18/13,1000,814
5/19/13,1186,950
5/20/13,2402,2247
5/21/13,1264,1217
5/22/13,1467,1393
5/23/13,1550,1473
5/24/13,1732,1641
5/25/13,938,828
5/26/13,665,526
5/27/13,385,384
5/28/13,1744,1615
5/29/13,1618,1519
5/30/13,2022,1941
5/31/13,2296,2119
6/1/13,1268,972
6/2/13,1568,1108
6/3/13,2186,2106
6/4/13,2655,2466
6/5/13,2572,2466
6/6/13,2349,2290
6/7/13,1884,1792
6/8/13,1174,1005
6/9/13,1183,898
6/10/13,2215,2154
6/11/13,1883,1795
6/12/13,2038,1967
6/13/13,2011,1904
6/14/13,1690,1632
6/15/13,1436,1120
6/16/13,1316,986
6/17/13,2153,2099
6/18/13,2266,2260
6/19/13,1853,1802
6/20/13,1221,1250
6/21/13,1528,1482
6/22/13,1526,1617
6/23/13,912,732
6/24/13,1247,1185
6/25/13,1353,1296
6/26/13,1430,1474
6/27/13,1499,1429
6/28/13,2095,2004
6/29/13,1440,1292
6/30/13,1488,1258
7/1/13,2166,2041
7/2/13,2401,2295
7/3/13,2149,2106
7/4/13,1838,1911
7/5/13,1538,1550
7/6/13,1576,1346
7/7/13,1414,1181
7/8/13,2180,2167
7/9/13,2425,2391
7/10/13,2304,2303
7/11/13,2065,2035
7/12/13,1838,1858
7/13/13,1410,1288
7/14/13,1464,1176
7/15/13,2207,2211
7/16/13,2314,2279
7/17/13,2102,2069
7/18/13,2263,2123
7/19/13,1982,1933
7/20/13,1378,1133
7/21/13,1293,1132
7/22/13,2073,2101
7/23/13,2326,2278
7/24/13,2331,2363
7/25/13,2246,2227
7/26/13,1999,1964
7/27/13,1289,1212
7/28/13,1078,902
7/29/13,2048,2040
7/30/13,2226,2314
7/31/13,2090,2032
8/1/13,1897,1822
8/2/13,1310,1269
8/3/13,1238,1019
8/4/13,1338,1128
8/5/13,2184,2128
8/6/13,2345,2257
8/7/13,2290,2266
8/8/13,2175,2100
8/9/13,1909,1924
8/10/13,985,912
8/11/13,1269,1046
8/12/13,2039,1989
8/13/13,2229,2240
8/14/13,2134,2037
8/15/13,1689,1645
8/16/13,1886,1933
8/17/13,1142,1077
8/18/13,1264,1037
8/19/13,2012,2105
8/20/13,2195,2329
8/21/13,2169,2223
8/22/13,2128,2042
8/23/13,1725,1721
8/24/13,1061,969
8/25/13,1091,968
8/26/13,1633,1607
8/27/13,1963,1929
8/28/13,1751,1733
8/29/13,1230,1145
8/30/13,1714,1662
8/31/13,1204,1088
9/1/13,1263,1025
9/2/13,1278,1047
9/3/13,1475,1456
9/4/13,1893,1937
9/5/13,1178,1070
9/6/13,1145,1078
9/7/13,1013,867
9/8/13,1288,1043
9/9/13,1907,1986
9/10/13,2112,2133
9/11/13,2250,2161
9/12/13,2070,1975
9/13/13,1603,1629
9/14/13,982,850
9/15/13,561,463
9/16/13,1511,1554
9/17/13,1659,1625
9/18/13,2009,1900
9/19/13,2248,1870
9/20/13,1684,1650
9/21/13,1074,858
9/22/13,415,381
9/23/13,1167,1090
9/24/13,1650,1556
9/25/13,1567,1535
9/26/13,1874,1739
9/27/13,1107,1042
9/28/13,273,204
9/29/13,253,237
9/30/13,1165,1094
10/1/13,1413,1317
10/2/13,1243,1169
10/3/13,1670,1581
10/4/13,1679,1535
10/5/13,1211,942
10/6/13,1216,954
10/7/13,1453,1487
10/8/13,1484,1406
10/9/13,1839,1748
10/10/13,1659,1513
10/11/13,1216,1118
10/12/13,672,602
10/13/13,819,696
10/14/13,1787,1618
10/15/13,1777,1687
10/16/13,1743,1597
10/17/13,1722,1529
10/18/13,1538,1412
10/19/13,624,510
10/20/13,576,536
10/21/13,1532,1474
10/22/13,1442,1720
10/23/13,1462,1622
10/24/13,1624,1391
10/25/13,1252,1183
10/26/13,727,640
10/27/13,416,362
10/28/13,1679,1649
10/29/13,1906,1446
10/30/13,1500,1454
10/31/13,1307,1266
11/1/13,1457,1355
11/2/13,344,326
11/3/13,708,613
11/4/13,1544,1514
11/5/13,1412,1377
11/6/13,1473,1445
11/7/13,853,856
11/8/13,1361,1271
11/9/13,644,549
11/10/13,505,485
11/11/13,1298,1363
11/12/13,1228,1188
11/13/13,1578,1489
11/14/13,1318,1273
11/15/13,1029,1034
11/16/13,605,516
11/17/13,539,427
11/18/13,1066,1046
11/19/13,1166,1143
11/20/13,1445,1389
11/21/13,1275,1230
11/22/13,1236,1094
11/23/13,686,524
11/24/13,644,497
11/25/13,1335,1274
11/26/13,1317,1224
11/27/13,1169,1082
11/28/13,311,271
11/29/13,523,481
11/30/13,442,423
12/1/13,383,298
12/2/13,1199,1084
12/3/13,1125,1086
12/4/13,1099,979
12/5/13,988,950
12/6/13,861,833
12/7/13,321,270
12/8/13,243,230
12/9/13,906,887
12/10/13,967,903
12/11/13,1094,1042
12/12/13,988,946
12/13/13,878,891
12/14/13,491,393
12/15/13,436,319
12/16/13,1288,1212
12/17/13,1138,1094
12/18/13,1079,1092
12/19/13,1063,1012
12/20/13,369,370
12/21/13,310,210
12/22/13,208,192
12/23/13,709,708
12/24/13,603,479
12/25/13,221,150
12/26/13,607,583
12/27/13,556,510
12/28/13,483,392
12/29/13,388,296
12/30/13,865,857
12/31/13,710,709
1/1/14,498,416
1/2/14,931,934
1/3/14,1079,948
1/4/14,657,515
1/5/14,665,486
1/6/14,1155,1149
1/7/14,1071,1011
1/8/14,998,950
1/9/14,1027,1093
1/10/14,964,816
1/11/14,235,188
1/12/14,370,285
1/13/14,1279,1251
1/14/14,1419,1389
1/15/14,1400,1372
1/16/14,1351,1290
1/17/14,1218,1092
1/18/14,644,491
1/19/14,444,378
1/20/14,949,925
1/21/14,1352,1328
1/22/14,1381,1311
1/23/14,1347,1302
1/24/14,1333,1188
1/25/14,800,641
1/26/14,748,681
1/27/14,1255,1244
1/28/14,1254,1212
1/29/14,998,901
1/30/14,1104,1125
1/31/14,1048,987
2/1/14,650,484
2/2/14,600,495
2/3/14,1138,1152
2/4/14,1042,1049
2/5/14,1257,1331
2/6/14,807,755
2/7/14,822,750
2/8/14,440,355
2/9/14,105,116
2/10/14,727,701
2/11/14,1031,993
2/12/14,1056,1083
2/13/14,1211,1178
2/14/14,906,880
2/15/14,364,294
2/16/14,274,211
2/17/14,495,533
2/18/14,749,776
2/19/14,1092,1075
2/20/14,1120,1094
2/21/14,929,960
2/22/14,343,281
2/23/14,381,310
2/24/14,804,753
2/25/14,1321,1242
2/26/14,1510,1450
2/27/14,1444,1277
2/28/14,1468,1361
3/1/14,588,401
3/2/14,244,187
3/3/14,903,817
3/4/14,1055,998
3/5/14,954,920
3/6/14,921,880
3/7/14,1311,1249
3/8/14,380,346
3/9/14,648,494
3/10/14,1067,1078
3/11/14,1759,1657
3/12/14,1912,1753
3/13/14,1694,1619
3/14/14,1129,1087
3/15/14,634,543
3/16/14,215,160
3/17/14,1395,1414
3/18/14,1419,1383
3/19/14,1109,1083
3/20/14,1437,1254
3/21/14,1345,1307
3/22/14,794,710
3/23/14,1075,888
3/24/14,1843,1793
3/25/14,1031,1056
3/26/14,1167,1179
3/27/14,1239,1118
3/28/14,779,746
3/29/14,313,258
3/30/14,778,542
3/31/14,1712,1724
4/1/14,1936,1855
4/2/14,1947,1725
4/3/14,1326,1297
4/4/14,1415,1402
4/5/14,569,475
4/6/14,896,647
4/7/14,2208,2111
4/8/14,1441,1365
4/9/14,1914,1914
4/10/14,2033,1907
4/11/14,1755,1680
4/12/14,1170,1015
4/13/14,1486,1161
4/14/14,2049,1957
4/15/14,1657,1549
4/16/14,1068,1065
4/17/14,883,867
4/18/14,1462,1468
4/19/14,489,417
4/20/14,908,826
4/21/14,1740,1661
4/22/14,1250,1173
4/23/14,1465,1367
4/24/14,1270,1241
4/25/14,1688,1506
4/26/14,1048,1001
4/27/14,676,726
4/28/14,1950,1808
4/29/14,2472,2331
4/30/14,2688,2479
5/1/14,3063,2874
5/2/14,2402,2206
5/3/14,626,531
5/4/14,331,289
5/5/14,1718,1583
5/6/14,2421,2215
5/7/14,2868,2587
5/8/14,1653,1577
5/9/14,1556,1480
5/10/14,967,758
5/11/14,1300,1076
5/12/14,2727,2705
5/13/14,3080,3008
5/14/14,3035,2852
5/15/14,2657,2643
5/16/14,3143,2599
5/17/14,1116,925
5/18/14,1089,848
5/19/14,2380,2322
5/20/14,2843,2835
5/21/14,2666,2563
5/22/14,2473,2437
5/23/14,1308,1248
5/24/14,1124,1031
5/25/14,670,564
5/26/14,1260,1029
5/27/14,2562,2470
5/28/14,2078,1930
5/29/14,2300,2287
5/30/14,2437,2432
5/31/14,1609,1278
6/1/14,1438,1163
6/2/14,2427,2487
6/3/14,2371,2299
6/4/14,2463,2400
6/5/14,2322,2353
6/6/14,2200,2182
6/7/14,1529,1278
6/8/14,1900,1647
6/9/14,2040,2088
6/10/14,2253,2277
6/11/14,2654,2542
6/12/14,2098,1979
6/13/14,1131,1135
6/14/14,955,818
6/15/14,720,547
6/16/14,1689,1672
6/17/14,2075,2032
6/18/14,2380,2270
6/19/14,2248,2164
6/20/14,1902,1888
6/21/14,1510,1694
6/22/14,1411,1303
6/23/14,2211,2266
6/24/14,2206,2136
6/25/14,2188,2344
6/26/14,1948,1909
6/27/14,1456,1415
6/28/14,923,857
6/29/14,1262,1050
6/30/14,2403,2399
7/1/14,2646,2501
7/2/14,2313,2429
7/3/14,1864,1895
7/4/14,1545,1739
7/5/14,1004,972
7/6/14,1577,1305
7/7/14,2254,2202
7/8/14,2609,2606
7/9/14,2591,2544
7/10/14,2478,2322
7/11/14,2186,1982
7/12/14,1244,1236
7/13/14,1264,1034
7/14/14,2216,2195
7/15/14,2476,2465
7/16/14,2482,2527
7/17/14,2310,2225
7/18/14,2099,2036
7/19/14,1059,1061
7/20/14,809,726
7/21/14,2285,2240
7/22/14,2416,2362
7/23/14,993,996
7/24/14,1516,1486
7/25/14,2100,1972
7/26/14,1488,1222
7/27/14,1419,1208
7/28/14,2431,2365
7/29/14,2606,2642
7/30/14,2485,2574
7/31/14,2405,2430
8/1/14,2052,2054
8/2/14,1136,974
8/3/14,1330,1187
8/4/14,2299,2391
8/5/14,2392,2427
8/6/14,2367,2411
8/7/14,2261,2292
8/8/14,1901,2055
8/9/14,1289,1140
8/10/14,1380,1170
8/11/14,2110,2215
8/12/14,1889,1878
8/13/14,1613,1673
8/14/14,2009,2020
8/15/14,1490,1632
8/16/14,1218,1166
8/17/14,1293,1153
8/18/14,2214,2422
8/19/14,2435,2499
8/20/14,2061,2128
8/21/14,2176,2148
8/22/14,1873,1962
8/23/14,1303,1127
8/24/14,1281,1138
8/25/14,2479,2504
8/26/14,2727,2824
8/27/14,2501,2545
8/28/14,2208,2201
8/29/14,1546,1642
8/30/14,456,403
8/31/14,951,869
9/1/14,1256,1100
9/2/14,1804,1689
9/3/14,2164,1957
9/4/14,2478,2462
9/5/14,2122,2065
9/6/14,1267,1133
9/7/14,1204,1010
9/8/14,2151,1658
9/9/14,2282,1706
9/10/14,1695,2320
9/11/14,1916,2126
9/12/14,1986,1917
9/13/14,1190,1177
9/14/14,1142,1039
9/15/14,2614,1836
9/16/14,2247,2091
